datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2017-04-28T22:00:00Z,2017-04-29T22:00:00Z,8.01,pm10,µg/m³,83.0,20,24,8.013,4.43,12.88
2017-05-01T22:00:00Z,2017-05-02T22:00:00Z,3.72,pm10,µg/m³,71.0,17,24,3.715294117647059,0.03,7.0
2017-05-02T22:00:00Z,2017-05-03T22:00:00Z,8.99,pm10,µg/m³,21.0,5,24,8.994,4.43,12.6
2017-05-03T22:00:00Z,2017-05-04T22:00:00Z,9.89,pm10,µg/m³,17.0,4,24,9.8875,7.2,13.6
2017-05-09T22:00:00Z,2017-05-10T22:00:00Z,6.92,pm10,µg/m³,8.0,2,24,6.915,4.93,8.9
2017-05-10T22:00:00Z,2017-05-11T22:00:00Z,6.21,pm10,µg/m³,79.0,19,24,6.2084210526315795,3.5,8.88
2017-05-11T22:00:00Z,2017-05-12T22:00:00Z,7.64,pm10,µg/m³,8.0,2,24,7.640000000000001,7.28,8.0
2017-05-13T22:00:00Z,2017-05-14T22:00:00Z,7.26,pm10,µg/m³,50.0,12,24,7.2625,4.2,12.95
2017-05-14T22:00:00Z,2017-05-15T22:00:00Z,5.92,pm10,µg/m³,100.0,24,24,5.9175,0.53,14.1
2017-05-15T22:00:00Z,2017-05-16T22:00:00Z,6.91,pm10,µg/m³,96.0,23,24,6.90913043478261,1.8,16.35
2017-05-16T22:00:00Z,2017-05-17T22:00:00Z,7.58,pm10,µg/m³,54.0,13,24,7.576153846153847,4.5,9.98
2017-05-17T22:00:00Z,2017-05-18T22:00:00Z,4.99,pm10,µg/m³,71.0,17,24,4.991176470588236,1.6,10.25
2017-05-23T22:00:00Z,2017-05-24T22:00:00Z,9.55,pm10,µg/m³,92.0,22,24,9.545454545454545,6.73,15.23
2017-05-24T22:00:00Z,2017-05-25T22:00:00Z,11.7,pm10,µg/m³,100.0,24,24,11.683750000000002,6.0,25.73
2017-05-25T22:00:00Z,2017-05-26T22:00:00Z,10.9,pm10,µg/m³,100.0,24,24,10.8975,5.43,22.03
2017-05-26T22:00:00Z,2017-05-27T22:00:00Z,11.9,pm10,µg/m³,100.0,24,24,11.904166666666667,8.85,17.18
2017-05-27T22:00:00Z,2017-05-28T22:00:00Z,12.8,pm10,µg/m³,100.0,24,24,12.781666666666666,8.53,17.68
2017-05-28T22:00:00Z,2017-05-29T22:00:00Z,12.3,pm10,µg/m³,100.0,24,24,12.300416666666663,2.63,33.03
2017-05-29T22:00:00Z,2017-05-30T22:00:00Z,7.38,pm10,µg/m³,100.0,24,24,7.377499999999999,2.38,12.6
2017-05-30T22:00:00Z,2017-05-31T22:00:00Z,6.8,pm10,µg/m³,100.0,24,24,6.799999999999998,3.05,14.95
2017-05-31T22:00:00Z,2017-06-01T22:00:00Z,8.13,pm10,µg/m³,100.0,24,24,8.132083333333332,3.25,16.03
2017-06-01T22:00:00Z,2017-06-02T22:00:00Z,9.07,pm10,µg/m³,100.0,24,24,9.068333333333333,4.5,19.0
2017-06-02T22:00:00Z,2017-06-03T22:00:00Z,10.1,pm10,µg/m³,100.0,24,24,10.072500000000002,3.03,24.08
